@relation mixed_instances_2

@attribute TLD_AS_com numeric
@attribute TLD_AS_org numeric
@attribute TLD_AS_edu numeric
@attribute TLD_AS_gov numeric
@attribute TLD_AS_uk numeric
@attribute TLD_AS_rest numeric
@attribute Hit_AS_mal numeric
@attribute Hit_AS_phis numeric
@attribute Hit_AS_spam numeric
@attribute NS_Dist_AS numeric
@attribute NS_Count numeric
@attribute TTL_NS numeric
@attribute TTL_DNS_Record numeric
@attribute trust_score_1 numeric
@attribute trust_score_2 numeric
@attribute safety_score_1 numeric
@attribute safety_score_2 numeric
@attribute category_negative numeric
@attribute category_questionable numeric
@attribute category_neutral numeric
@attribute category_positive numeric
@attribute blacklist_mal numeric
@attribute blacklist_phis numeric
@attribute blacklist_scam numeric
@attribute blacklist_spam numeric
@attribute class {normal,abnormal}

@data
0,0,0,0,0,0,0,0,0,0,4,0,0,94,73,92,65,0,0,46,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,11,0,0,2,14,6,9,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,2,0,0,85,55,78,41,0,0,17,96,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,92,66,83,48,0,0,14,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,5,0,0,84,44,82,39,0,0,25,96,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,2,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,6,0,0,94,75,93,69,0,0,10,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,6,0,0,94,81,94,72,0,0,5,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,9,0,0,5,12,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,3,0,0,94,66,93,59,0,0,10,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,44,6,8,6,0,4,0,0,0,0,0,0,abnormal
